,max_drawdown
sim_265,-0.18347794045826138
sim_266,-0.19682944341290065
sim_267,-0.20338658656561825
sim_268,-0.139689625328133
sim_269,-0.3678645109546206
sim_270,-0.17226898500048904
sim_271,-0.3307071064614785
sim_272,-0.37405195933241253
sim_273,-0.3294444945560224
sim_274,-0.20180119805348284
sim_275,-0.14377637654838216
sim_276,-0.32815719745529914
sim_277,-0.4623299352864829
sim_278,-0.29059092928001207
sim_279,-0.1544241923353371
sim_280,-0.1685449969432825
sim_281,-0.12424498664480832
sim_282,-0.20889672895635436
sim_283,-0.2461875372321165
sim_284,-0.38491218941310423
sim_285,-0.41180485334559225
sim_286,-0.21518968081538048
sim_287,-0.2636908732894635
sim_288,-0.2870249236518565
sim_289,-0.2064903603194772
sim_290,-0.3703131513065826
sim_291,-0.2587613145480352
sim_292,-0.21139126077309367
sim_293,-0.24868897050410432
sim_294,-0.32140804146706003
sim_295,-0.1670697291648232
sim_296,-0.12260417735204443
sim_297,-0.22583407233510022
sim_298,-0.24654185104210924
sim_299,-0.5040695213858958
sim_300,-0.33219471442406845
sim_301,-0.3794915265047043
sim_302,-0.22163217140201097
sim_303,-0.23526895367429002
sim_304,-0.2114703279262412
sim_305,-0.29442930468991346
sim_306,-0.2785994561380848
sim_307,-0.15233187656967118
sim_308,-0.2237709268963678
sim_309,-0.41692356084683746
sim_310,-0.29384447287710447
sim_311,-0.2454112879921997
sim_312,-0.28213654823584633
sim_313,-0.33355550069990636
sim_314,-0.32155345440975436
sim_315,-0.27433377068182796
sim_316,-0.41839609222218854
sim_317,-0.24081021513070178
sim_318,-0.25007444820658264
sim_319,-0.27257215259108314
sim_320,-0.1554054227543522
sim_321,-0.24471806725056877
sim_322,-0.1424661242742451
sim_323,-0.1766474632344882
sim_324,-0.35519839047645296
sim_325,-0.41273817756021425
sim_326,-0.23213731265232318
sim_327,-0.22340948154204499
sim_328,-0.3425905444410736
sim_329,-0.253976265628446
sim_330,-0.2932551586784159
sim_331,-0.21797274423347823
sim_332,-0.2495259738740374
sim_333,-0.32011091579671114
sim_334,-0.19671073300442254
sim_335,-0.3282459879689744
sim_336,-0.4528100962823278
sim_337,-0.27065866863525967
sim_338,-0.36837540621343734
sim_339,-0.20512576653903247
sim_340,-0.17185530564670404
sim_341,-0.12690299531991234
sim_342,-0.2415767621412238
sim_343,-0.2743340729254363
sim_344,-0.2273675894210142
sim_345,-0.42388124814244765
sim_346,-0.37372076265161636
sim_347,-0.23302950638053543
sim_348,-0.2367218904271322
sim_349,-0.26900786741177884
sim_350,-0.27347400343028394
sim_351,-0.18621342841842037
sim_352,-0.31778009632730697
sim_353,-0.21444648672626687
sim_354,-0.17905987833906667
sim_355,-0.37944941067648963
sim_356,-0.19196310797362603
sim_357,-0.22640421910636022
sim_358,-0.13885661065209087
sim_359,-0.2811381579993055
sim_360,-0.145281155471369
sim_361,-0.27050016119630604
sim_362,-0.2721093806314858
sim_363,-0.36425000195755675
sim_364,-0.47748156196895386
sim_365,-0.19830745017254758
sim_366,-0.28428064841188305
sim_367,-0.2010938248926637
sim_368,-0.20700402893973802
sim_369,-0.13610003216902555
sim_370,-0.38320395902413495
sim_371,-0.13267476983650994
sim_372,-0.2166087660240703
sim_373,-0.11673893242159594
sim_374,-0.25786737992102937
sim_375,-0.13775820187368049
sim_376,-0.34007035663868423
sim_377,-0.22933150878357955
sim_378,-0.18907824814750496
sim_379,-0.17226493622989247
sim_380,-0.23480878018722806
sim_381,-0.3645460110148394
sim_382,-0.2980954379920092
sim_383,-0.13710269896546812
sim_384,-0.10685364800580188
sim_385,-0.14400067106011394
sim_386,-0.15621222871196538
sim_387,-0.27572700748258594
sim_388,-0.27430864173337777
sim_389,-0.3861441939213003
sim_390,-0.22185623399848398
sim_391,-0.2819721363174418
sim_392,-0.25742634179555623
sim_393,-0.20907192029078703
sim_394,-0.09991320295706985
sim_395,-0.1846477760749342
sim_396,-0.1650923233743543
sim_397,-0.19857654866314212
sim_398,-0.39053592003123905
sim_399,-0.30948654353410576
sim_400,-0.2164298024690099
sim_401,-0.4770199253524321
sim_402,-0.18677251903873715
sim_403,-0.22018323940330298
sim_404,-0.23863745681718818
sim_405,-0.19506387587841922
sim_406,-0.1921707205460964
sim_407,-0.22126166377011625
sim_408,-0.27603732541145565
sim_409,-0.2316104802941893
sim_410,-0.21673488868711321
sim_411,-0.20357293259716158
sim_412,-0.17842901212554907
sim_413,-0.3833861003369693
sim_414,-0.26397711437461857
sim_415,-0.17157811780125187
sim_416,-0.45324716633998496
sim_417,-0.21821296017347114
sim_418,-0.12720505631526924
sim_419,-0.2413974140047659
sim_420,-0.1545186784157504
sim_421,-0.42690742297916595
sim_422,-0.1836358817173881
sim_423,-0.20165444366171892
sim_424,-0.24907161974503922
sim_425,-0.15063028976339587
sim_426,-0.29161929841102163
sim_427,-0.2538598466158962
sim_428,-0.10742842913561845
sim_429,-0.1522920160667569
sim_430,-0.1442354436087756
sim_431,-0.3361372339914753
sim_432,-0.2728456453581075
sim_433,-0.25148839271865775
sim_434,-0.15093135734643304
sim_435,-0.18674877686487434
sim_436,-0.30328639015613446
sim_437,-0.21895918705183925
sim_438,-0.2656469332603163
sim_439,-0.16965709058428746
sim_440,-0.245535546751121
sim_441,-0.3629152278532116
sim_442,-0.2265661507664014
sim_443,-0.37719535179170105
